country_code,country,gdp_current_usd,gdp_current_usd_year,inflation_pct,inflation_pct_year,fdi_inflows_usd,fdi_inflows_usd_year,industry_value_added_pct_gdp,industry_value_added_pct_gdp_year,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_year,rail_lines_km,rail_lines_km_year,lpi_overall_score,lpi_overall_score_year,exports_goods_services_usd,exports_goods_services_usd_year,imports_goods_services_usd,imports_goods_services_usd_year
CHN,China,18743803170827.2,2024,0.218128938439177,2024,18556141172.84,2024,36.4756594453045,2024,24.8692407436614,2024,109767.0,2021,3.7,2022,3753056083349.04,2024,3219342570126.17,2024
IND,India,3909891533858.08,2024,4.95303550973656,2024,27139853378.1402,2024,24.6285041297852,2024,12.6085653310554,2024,68102.73,2021,3.4,2022,827405227198.603,2024,918333719557.771,2024
KAZ,Kazakhstan,291480274648.826,2024,8.69082156104494,2024,1978987098.02375,2024,32.112807813811,2024,12.3935343078141,2024,16005.6,2021,2.7,2022,92070351467.3348,2024,74543688674.4676,2024
RUS,Russia,2173835806671.66,2024,8.43486410496723,2024,-9350250000.0,2024,30.7201326538798,2024,13.2536575793102,2024,85544.0,2021,2.6,2022,476430904566.737,2024,382411727676.268,2024
TKM,Turkmenistan,51387209872.2994,2024,,,1644770160.0,2024,37.4826200082708,2024,17.9621538458978,2024,,,,,9030077768.28084,2024,5735835360.68585,2024
