Opportunity_ID,Region_Oblast,Federal_District,EIII_Score,BD_Priority,Gas_Demand_Proxy_bln_rub,Est_CAPEX_Potential_M_EUR,O2_Score,N2_Score,H2_Score,CO2_Score,Top_Gas_Product,Key_Clients_Target,Stage_BD,Est_Revenue_M_EUR_yr,Sanctions_Risk_Lift_Multiplier,Revenue_Post_Sanctions_M_EUR_yr,Notes
AL-RU-ОРЕН-2025,Оренбургская область,Приволжский,19.3,TIER 2 - HAUTE,281.7,0.4,10.0,10.0,6.3,8.7,O2+N2,Rosstat p.19-20,Prospection,0.06,2.5,0.14,EIII=19.3 | GasProxy=281.7 Mrd RUB | TIER 2 - HAUTE
AL-RU-РОСТ-2025,Ростовская область,Южный,37.7,TIER 2 - HAUTE,281.3,0.4,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.06,2.5,0.14,EIII=37.7 | GasProxy=281.3 Mrd RUB | TIER 2 - HAUTE
AL-RU-БЕЛГ-2025,Белгородская область,Центральный,11.8,TIER 2 - HAUTE,233.9,0.3,10.0,10.0,7.6,10.0,O2+N2,Rosstat Region_Pokaz_2025.pdf, Table 1.1 p.19-20,Prospection,0.05,2.5,0.12,EIII=11.8 | GasProxy=233.9 Mrd RUB | TIER 2 - HAUTE
AL-RU-ВОЛГ-2025,Волгоградская область,Южный,29.4,TIER 2 - HAUTE,212.5,0.3,10.0,10.0,8.7,10.0,O2+N2,Rosstat p.19-20,Prospection,0.04,2.5,0.11,EIII=29.4 | GasProxy=212.5 Mrd RUB | TIER 2 - HAUTE
AL-RU-ЛЕНИ-2025,Ленинградская область,Северо-Западный,34.1,TIER 2 - HAUTE,210.6,0.3,10.0,10.0,9.2,9.0,O2+N2,Rosstat p.19-20,Prospection,0.04,2.5,0.1,EIII=34.1 | GasProxy=210.6 Mrd RUB | TIER 2 - HAUTE
AL-RU-НОВО-2025,Новосибирская область,Сибирский,30.7,TIER 2 - HAUTE,202.9,0.3,10.0,10.0,8.9,9.9,O2+N2,Rosstat p.19-20,Prospection,0.04,2.5,0.1,EIII=30.7 | GasProxy=202.9 Mrd RUB | TIER 2 - HAUTE
AL-RU-ОМСК-2025,Омская область,Сибирский,26.8,TIER 2 - HAUTE,196.5,0.3,10.0,10.0,8.5,9.3,O2+N2,Rosstat p.19-20,Prospection,0.04,2.5,0.1,EIII=26.8 | GasProxy=196.5 Mrd RUB | TIER 2 - HAUTE
AL-RU-ВОРО-2025,Воронежская область,Центральный,32.3,TIER 2 - HAUTE,185.3,0.2,10.0,10.0,7.7,10.0,O2+N2,Rosstat p.19-20,Prospection,0.04,2.5,0.09,EIII=32.3 | GasProxy=185.3 Mrd RUB | TIER 2 - HAUTE
AL-RU-УДМУ-2025,Удмуртская Республика,Приволжский,28.9,TIER 2 - HAUTE,166.0,0.2,10.0,10.0,4.3,5.1,O2+N2,Rosstat p.19-20,Prospection,0.03,2.5,0.08,EIII=28.9 | GasProxy=166.0 Mrd RUB | TIER 2 - HAUTE
AL-RU-САРА-2025,Саратовская область,Приволжский,29.9,TIER 2 - HAUTE,160.1,0.2,10.0,10.0,6.7,9.6,O2+N2,Rosstat p.19-20,Prospection,0.03,2.5,0.08,EIII=29.9 | GasProxy=160.1 Mrd RUB | TIER 2 - HAUTE
AL-RU-РЕСП-2025,Республика Коми,Северо-Западный,23.9,TIER 2 - HAUTE,154.2,0.2,10.0,10.0,2.3,1.4,O2+N2,Rosstat p.19-20,Prospection,0.03,2.5,0.08,EIII=23.9 | GasProxy=154.2 Mrd RUB | TIER 2 - HAUTE
